option	kind	default	family	object	depends	source	help	role	n_values	in_build
solver:asinh_vars	bool	false	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:420	Apply asinh() to all variables?	tuning		bout
solver:atol	real	1e-16	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:285	Absolute tolerance in SNES solve	tuning		bout
solver:diagnose	bool	false	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:354	Print additional diagnostics	tuning		bout
solver:diagnose_failures	bool	false	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:355	Print more diagnostics when SNES fails	tuning		bout
solver:dt_min_reset	real	1e-6	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:273	If dt falls below this, reset to starting dt	tuning		bout
solver:equation_form	enum	BoutSnesEquationForm::rearranged_backwar	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:278	Form of equation to solve: rearranged_backward_euler (default);	tuning		bout
solver:jacobian_export_kind	enum	bout::JacobianExportKind::system	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:426	Which Jacobian to save: system, scaled, or rhs	tuning		bout
solver:jacobian_persists	bool	false	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:390	Re-use Jacobian and preconditioner across nonlinear solves	tuning		bout
solver:kD	real	0.2	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:345	Derivative PID parameter	tuning		bout
solver:kI	real	0.3	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:344	Integral PID parameter	tuning		bout
solver:kP	real	0.7	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:343	Proportional PID parameter	tuning		bout
solver:ksp_type	enum	default	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:362	Linear solver type. By default let PETSc decide (gmres)	tuning	47	bout
solver:kspsetinitialguessnonzero	bool	false	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:365	Set the initial guess to be non-zero	tuning		bout
solver:lag_jacobian	int	50	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:386	Re-use the Jacobian this number of SNES iterations	tuning		bout
solver:last_failure_weight	real	0.1	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:350	Weighting of last timestep in recent failure rate	tuning		bout
solver:line_search_type	enum	default	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:377	Line search type: basic, bt, l2, cp, nleqerr	tuning		bout
solver:lower_its	real	static_cast<int>(maxits * 0.5)	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:297	Iterations below which the next timestep is increased	tuning		bout
solver:matrix_free	bool	false	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:380	Use matrix free Jacobian?	tuning		bout
solver:matrix_free_operator	bool	false	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:383	Use matrix free Jacobian-vector operator?	tuning		bout
solver:max_nonlinear_iterations	int	50	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:294	Maximum number of nonlinear iterations per SNES solve	tuning		bout
solver:max_snes_failures	int	10	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:303	Abort after this number of consecutive failures	tuning		bout
solver:max_timestep	real	1e37	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:276	Maximum timestep	tuning		bout
solver:maxf	int	10000	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:291	Maximum number of function evaluations per SNES solve	tuning		bout
solver:maxl	int	20	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:368	Maximum number of linear iterations	tuning		bout
solver:output_residual_ratio	real	0.5	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:268	Trigger an output when residual falls by this ratio	tuning		bout
solver:output_trigger	enum	BoutSnesOutput::fixed_time_interval	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:264	Decides when to save outputs. fixed_time_interval, residual_ratio	tuning		bout
solver:pc_hypre_type	enum	pilut	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:373	hypre preconditioner type: euclid, pilut, parasails,	tuning	7	bout
solver:pc_type	enum	default	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:370	Preconditioner type. By default lets PETSc decide (ilu or bjacobi)	tuning	52	bout
solver:pid_consider_failures	bool	false	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:347	Reduce timestep increases if recent solves have failed	tuning		bout
solver:predictor	bool	true	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:358	Use linear predictor?	tuning		bout
solver:prune_abstol	real	1e-16	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:400	Prune values with absolute values smaller than this	tuning		bout
solver:prune_fraction	real	0.2	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:403	Prune if fraction of small elements is larger than this	tuning		bout
solver:prune_jacobian	bool	false	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:397	Remove small elements in the Jacobian?	tuning		bout
solver:pseudo_alpha	real	100. * atol * timestep	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:320	Sets timestep using dt = alpha / residual	tuning		bout
solver:pseudo_alpha_minimum	real	0.1 * pseudo_alpha	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:323	Minimum value of pseudo_alpha	tuning		bout
solver:pseudo_growth_factor	real	1.1	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:326	PTC growth factor on success	tuning		bout
solver:pseudo_max_ratio	real	2.	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:332	PTC maximum timestep ratio between neighbors	tuning		bout
solver:pseudo_reduction_factor	real	0.5	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:329	PTC reduction factor on failure	tuning		bout
solver:pseudo_strategy	enum	BoutPTCStrategy::inverse_residual	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:317	PTC strategy to use when setting timesteps	tuning		bout
